Title,Number of Units,Quarter
Introduction to Computing at Stanford (VPTL 1),1,null
Practical Unix,1,null
Personal Finance for Engineers,1,2023-2024 Autumn
Problem-Solving for the CS Technical Interview,1,null
How to Make VR: Introduction to Virtual Reality Design and Development,2,2023-2024 Autumn
Introduction to Mobile Augmented Reality Design and Development,1,2023-2024 Spring
Introduction to Version Control with Git,1,null
AI for Social Good,2,2023-2024 Spring
Transformers United V3,1,2023-2024 Autumn
Beyond NLP: CS & Language through Text Input & Design,1,null
Computational Decision Making,3,2023-2024 Winter
Counterfactuals: The Science of What Ifs?,3,2023-2024 Summer
Cloud Infrastructure and Scalable Application Deployment,3,2023-2024 Winter
Hap.py Code: The Python Programming Language,2,null
Functional Programming Abstractions,2,null
Great Ideas in Graphics,3,2023-2024 Autumn
Software Tools Every Programmer Should Know,2,null
Working with Data: Delights and Doubts,3,null
Cross-Platform Mobile Development,2,null
Using Bits to Control Atoms,3,2023-2024 Summer
Using Tech for Good,2,null
CS + Social Good Studio: Designing Social Impact Projects,2,2023-2024 Winter
CS + Social Good Studio: Implementing Social Good Projects,2,2023-2024 Spring
How Can Generative AI Help Us Learn?,3,2023-2024 Spring
Great Discoveries and Inventions in Computing,3,null
Randomness: Computational and Philosophical Approaches (PHIL 3N),3,null
You Say You Want a Revolution (Blockchain Edition),2,null
The Blockchain Revolution Will Not Be Televised,3,null
Quantum Computing: Open-Source Project Experience,2,null
Computation for Puzzles and Games,1,null
Dissecting The Modern Computer,2,2023-2024 Autumn
Race and Gender in Silicon Valley (AFRICAAM 80Q),3,null
AI Interpretability and Fairness,1,null
Wellness in Tech: Designing an Intentional Lifestyle in a Tech-Driven World,1,null
Playback Theater,3,2023-2024 Winter
Emotional Intelligence,2,null
Digital Canvas: An Introduction to UI/UX Design,2,null
Digital Canvas: An Introduction to UI/UX Design,2,null
Teaching AI,1,null
Problem-solving Lab for CS106A,1,2023-2024 Autumn
Problem-solving Lab for CS106B,1,2023-2024 Winter
Introduction to Computing Principles,5,null
Working with Data - Tools and Techniques,4,null
Mathematical Foundations of Computing,5,2023-2024 Winter
Mathematical Problem-solving Strategies,1,2023-2024 Autumn
Introduction to Essential Software Systems and Tools,3,2023-2024 Winter
Introduction to Computers,5,2023-2024 Autumn
Programming Methodology,5,2023-2024 Winter
Programming Methodologies in JavaScript and Python (Accelerated),5,2023-2024 Autumn
Programming Abstractions,5,2023-2024 Spring
Exploration of Computing,3,2023-2024 Spring
Standard C++ Programming Laboratory,1,2023-2024 Autumn
Enrichment Adventures in Programming Abstractions,1,2023-2024 Autumn
Coding for Social Good,1,2023-2024 Autumn
Programming Abstractions (Accelerated),5,null
Computer Organization and Systems,5,2023-2024 Autumn
Problem-solving Lab for CS107,1,2023-2024 Spring
Computer Systems from the Ground Up,5,2023-2024 Winter
Object-Oriented Systems Design,4,2023-2024 Winter
Introduction to Probability for Computer Scientists,5,2023-2024 Winter
Problem-solving Lab for CS109,1,2023-2024 Winter
Principles of Computer Systems,5,null
Problem Solving Lab for CS110,1,null
Safety in Systems Programming,2,null
Operating Systems Principles,5,2023-2024 Autumn
Problem Solving Lab for CS111,1,2023-2024 Winter
Operating systems kernel implementation project,3,2023-2024 Winter
Selected Reading of Computer Science Research,3,null
A Hands-On Introduction to Building AI-Enabled Robots,3,2023-2024 Autumn
Applied Machine Learning,4,2023-2024 Winter
Human Centered NLP (CS 329X),4,null
Computer Vision: Foundations and Applications,4,2023-2024 Winter
Human-Centered AI,3,null
Operating Systems and Systems Programming,5,null
Operating systems design and implementation,4,2023-2024 Winter
Web Applications,3,null
Compilers,4,2023-2024 Spring
Introduction to Computer Networking,4,2023-2024 Winter
Data Management and Data Systems,4,2023-2024 Autumn
Introduction to Game Design and Development,4,null
Introduction to Human-Computer Interaction Design,5,2023-2024 Autumn
Cross-platform Mobile App Development,3,2023-2024 Autumn
Introduction to Computer Graphics and Imaging,4,2023-2024 Summer
Parallel Computing,4,2023-2024 Autumn
Logic Programming,3,2023-2024 Spring
Trust and Safety Engineering (COMM 122),3,2023-2024 Spring
Applied Security at Scale,3,2023-2024 Winter
Introduction to the Theory of Computation,4,2023-2024 Autumn
Computer and Network Security,3,2023-2024 Spring
Computational Logic,3,2023-2024 Autumn
Design and Analysis of Algorithms,5,2023-2024 Winter
Problem-Solving Lab for CS161,1,2023-2024 Winter
The Practice of Theory Research,3,null
Data Structures,4,null
The Modern Algorithmic Toolbox,4,2023-2024 Spring
Human Centered Product Management,4,2023-2024 Autumn
Effective Leadership in High-Tech,1,null
Bridging Policy and Tech Through Design (PUBLPOL 170),4,null
Coding with LLM Assistants,2,2023-2024 Autumn
Design for Advocacy,4,null
Software Design Studio,4,2023-2024 Winter
Senior Project,6,2023-2024 Summer
Writing Intensive Senior Research Project,6,2023-2024 Spring
Programming Service Project,4,2023-2024 Summer
Android Programming,3,null
Client-Side Internet Technologies,3,2023-2024 Summer
iOS Application Development,3,null
Introduction to Python Programming,1,2023-2024 Autumn
Video Game Development in C++ and Unreal Engine,3,null
Web Programming Fundamentals,3,null
Software Project,3,2023-2024 Winter
Android Programming Workshop,1,null
User Interface Design Project,4,2023-2024 Winter
Software Project (WIM),3,2023-2024 Spring
Supervised Undergraduate Research,4,2023-2024 Autumn
Computer Consulting (VPTL 196),2,null
Computer Science Research,4,2023-2024 Winter
Computer Science Research: CURIS Internship Onramp,3,2023-2024 Spring
Teaching Computer Science,4,2023-2024 Spring
Additional Topics in Teaching Computer Science,1,2023-2024 Autumn
Independent Work,6,2023-2024 Autumn
Independent Work,6,2023-2024 Winter
Law for Computer Science Professionals,1,2023-2024 Spring
Computational Law,3,null
Continuous Mathematical Methods with an Emphasis on Machine Learning,3,2023-2024 Winter
Exploring Computational Journalism (COMM 281),3,2023-2024 Winter
Antidiscrimination Law and Algorithmic Bias,3,null
Great Ideas in Computer Science,3,null
Software Project Experience with Corporate Partners,4,2023-2024 Winter
Software Project Experience with Corporate Partners,4,2023-2024 Spring
Operating Systems and Systems Programming,5,2023-2024 Winter
Creating Great VR: From Ideation to Monetization,1,null
Selected Reading of Computer Science Research,3,null
Hardware Accelerators for Machine Learning,4,null
Artificial Intelligence: Principles and Techniques,4,2023-2024 Spring
Introduction to Robotics (ME 320),3,2023-2024 Winter
NLP for Computational Social Science,3,2023-2024 Spring
Apps With LLMs Inside,3,2023-2024 Winter
Deep Reinforcement Learning,3,2023-2024 Spring
Spoken Language Processing (LINGUIST 285),4,2023-2024 Spring
Conversational Virtual Assistants with Deep Learning,4,2023-2024 Autumn
Machine Learning with Graphs,4,2023-2024 Autumn
Machine Learning for Discrete Optimization (MS&E 236),3,2023-2024 Spring
Experimental Robotics,3,2023-2024 Spring
The Future of Mechanical Engineering (ME 228),1,null
General Game Playing,3,2023-2024 Spring
Probabilistic Graphical Models: Principles and Techniques,4,2023-2024 Winter
Machine Learning (STATS 229),4,2023-2024 Winter
Machine Learning for Sequence Modeling (STATS 232),4,2023-2024 Autumn
Machine Learning Theory (STATS 214),3,2023-2024 Autumn
Systems for Machine Learning,3,2023-2024 Autumn
Deep Learning,4,2023-2024 Spring
Computer Vision: From 3D Reconstruction to Recognition,4,2023-2024 Spring
Computer Vision and Image Analysis of Art,3,null
Deep Learning for Computer Vision,4,2023-2024 Spring
Digital Image Processing (EE 368),3,null
Geometric and Topological Data Analysis (CME 251),3,2023-2024 Winter
Reinforcement Learning,3,2023-2024 Spring
Deep Generative Models,3,2023-2024 Autumn
